"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E493_POOLRET72_S227_L002",493,1,10,6,6,10,1,10,43,0.972312986,8,5,13,56
"E495_POOLRET72_S211_L002",495,1,13,4,3,8,3,20,51,0.92042989,5,5,10,61
"E496_POOLRET73_S535_L003",496,1,15,3,4,2,5,7,36,0.708326635,7,1,8,44
"E497_POOLRET73_S392_L003",497,1,15,5,8,2,7,11,48,0.941820716,7,3,10,58
"E499_POOLRET72_S231_L002",499,1,11,6,8,8,1,5,39,0.815676823,6,0,6,45
"H7GWFDSX7_E405_POOLRET74",405,1,16,4,3,6,3,16,48,0.975882094,16,11,27,75
"H7GWFDSX7_E412_POOLRET74",412,1,8,4,5,2,5,11,35,0.945762437,10,3,13,48
"H7GWFDSX7_E413_POOLRET74",413,1,8,4,4,7,2,8,33,0.9053391,8,7,15,48
"H7GWFDSX7_E423_POOLRET74",423,1,14,6,6,6,4,16,52,0.958716317,3,5,8,60
"H7GWFDSX7_E427_POOLRET74",427,1,15,2,7,1,6,16,47,0.912185432,6,1,7,54
"H7GWFDSX7_E428_POOLRET74",428,1,18,3,4,5,3,8,41,0.976327498,9,3,12,53
"H7GWFDSX7_E443_POOLRET74",443,1,20,4,5,6,4,11,50,0.976935547,10,5,15,65
"H7GWFDSX7_E446_POOLRET74",446,1,12,6,10,9,5,6,48,0.976929045,8,10,18,66
"H7GWFDSX7_E449_POOLRET74",449,1,9,4,10,9,4,6,42,0.809494101,5,2,7,49
"H7GWFDSX7_E450_POOLRET74",450,1,14,2,4,10,7,10,47,0.974346263,11,2,13,60
"H7GWFDSX7_E452_POOLRET74",452,1,13,4,4,5,4,4,34,0.903529173,5,4,9,43
"H7GWFDSX7_E453_POOLRET74",453,1,14,3,8,8,4,16,53,0.909042972,9,8,17,70
"H7GWFDSX7_E454_POOLRET74",454,1,11,2,7,8,3,4,35,0.825638363,7,4,11,46
"H7GWFDSX7_E455_POOLRET74",455,1,21,3,5,5,8,15,57,0.932200219,3,2,5,62
"H7GWFDSX7_E458_POOLRET74",458,1,10,5,4,1,2,7,29,0.568417187,9,3,12,41
"H7GWFDSX7_E459_POOLRET74",459,1,21,6,6,8,9,10,60,0.952239457,7,3,10,70
