"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",9,7,0,7,1,5,29,0.969513942,5,1,6,35
"E401_POOLRET73_S389_L003",4,2,0,4,0,7,17,0.749102134,5,2,7,24
"E402_POOLRET72_S359_L002",9,2,4,2,1,4,22,0.906996014,1,3,4,26
"E403_POOLRET73_S421_L003",8,2,2,3,5,8,28,0.828891157,6,1,7,35
"E404_POOLRET72_S280_L002",8,0,4,2,2,3,19,0.90378869,3,1,4,23
"E406_POOLRET73_S403_L003",5,5,3,3,3,7,26,0.929086268,6,4,10,36
"E407_POOLRET73_S467_L003",6,4,1,5,1,4,21,0.930587039,4,3,7,28
"E408_POOLRET72_S251_L002",6,2,1,0,0,7,16,0.970537142,3,3,6,22
"E410_POOLRET73_S390_L003",3,3,2,6,2,2,18,0.955425941,7,3,10,28
"E411_POOLRET72_S300_L002",6,5,1,4,2,10,28,0.823815823,3,1,4,32
"E414_POOLRET72_S368_L002",13,0,1,2,2,9,27,0.939628016,4,1,5,32
"E415_POOLRET72_S354_L002",8,0,2,0,1,7,18,0.920984082,1,1,2,20
"E416_POOLRET73_S423_L003",6,2,3,0,1,3,15,0.934357391,0,2,2,17
"E417_POOLRET73_S445_L003",5,6,4,5,1,4,25,0.758117095,4,3,7,32
"E418_POOLRET73_S500_L003",9,1,2,7,2,9,30,0.93812175,5,2,7,37
"E419_POOLRET73_S523_L003",2,2,5,6,5,5,25,0.869721808,10,4,14,39
"E420_POOLRET72_S210_L002",8,3,4,6,3,8,32,0.946096002,2,1,3,35
"E421_POOLRET73_S567_L003",8,2,3,3,2,5,23,0.865003681,5,1,6,29
"E422_POOLRET73_S561_L003",2,0,3,2,1,8,16,0.915884208,3,3,6,22
"E424_POOLRET72_S370_L002",6,2,4,5,1,10,28,0.935878096,3,3,6,34
"E425_POOLRET73_S563_L003",3,0,4,5,1,9,22,0.95143863,8,3,11,33
