"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,8,7,0,5,1,2,23,0.969513942,2,0,2,25
"E401_POOLRET73_S389_L003",401,1,4,2,0,4,0,2,12,0.749102134,4,1,5,17
"E402_POOLRET72_S359_L002",402,1,9,2,3,2,0,2,18,0.906996014,1,2,3,21
"E403_POOLRET73_S421_L003",403,1,7,2,2,3,5,4,23,0.828891157,6,0,6,29
"E404_POOLRET72_S280_L002",404,1,5,0,4,1,1,1,12,0.90378869,1,1,2,14
"E406_POOLRET73_S403_L003",406,1,5,5,3,3,3,4,23,0.929086268,3,3,6,29
"E407_POOLRET73_S467_L003",407,1,6,4,1,5,1,3,20,0.930587039,3,2,5,25
"E408_POOLRET72_S251_L002",408,1,4,2,1,0,0,4,11,0.970537142,1,2,3,14
"E410_POOLRET73_S390_L003",410,1,3,3,2,5,1,1,15,0.955425941,6,2,8,23
"E411_POOLRET72_S300_L002",411,1,6,5,1,3,1,6,22,0.823815823,0,0,0,22
"E414_POOLRET72_S368_L002",414,1,13,0,1,2,1,3,20,0.939628016,3,0,3,23
"E415_POOLRET72_S354_L002",415,1,8,0,2,0,1,5,16,0.920984082,1,1,2,18
"E416_POOLRET73_S423_L003",416,1,5,0,3,0,1,0,9,0.934357391,0,1,1,10
"E417_POOLRET73_S445_L003",417,1,5,6,4,5,1,1,22,0.758117095,2,2,4,26
"E418_POOLRET73_S500_L003",418,1,9,1,1,5,2,5,23,0.93812175,2,0,2,25
"E419_POOLRET73_S523_L003",419,1,2,2,5,5,4,3,21,0.869721808,10,3,13,34
"E420_POOLRET72_S210_L002",420,1,8,3,2,5,3,2,23,0.946096002,1,1,2,25
"E421_POOLRET73_S567_L003",421,1,8,2,3,3,2,0,18,0.865003681,5,0,5,23
"E422_POOLRET73_S561_L003",422,1,2,0,3,2,0,4,11,0.915884208,3,2,5,16
"E424_POOLRET72_S370_L002",424,1,5,2,2,5,1,9,24,0.935878096,2,1,3,27
"E425_POOLRET73_S563_L003",425,1,3,0,4,4,0,6,17,0.95143863,5,2,7,24
"E426_POOLRET72_S234_L002",426,1,4,0,6,6,1,4,21,0.9463586,10,32,42,63
"E429_POOLRET73_S533_L003",429,1,6,2,5,4,1,4,22,0.944404735,2,0,2,24
"E430_POOLRET72_S380_L002",430,1,2,0,4,3,0,0,9,0.956092432,0,1,1,10
"E431_POOLRET73_S454_L003",431,1,11,1,0,2,3,1,18,0.957279073,2,1,3,21
"E432_POOLRET72_S367_L002",432,1,5,1,1,3,1,3,14,0.777747294,2,0,2,16
"E433_POOLRET72_S200_L002",433,1,8,0,2,0,2,3,15,0.823912845,2,1,3,18
"E434_POOLRET72_S202_L002",434,1,16,3,3,5,3,4,34,0.777353911,8,0,8,42
"E435_POOLRET72_S378_L002",435,1,2,4,6,2,3,2,19,0.730347657,1,2,3,22
"E436_POOLRET72_S320_L002",436,1,6,4,3,3,3,2,21,0.961339145,2,1,3,24
"E437_POOLRET72_S315_L002",437,1,7,1,1,4,1,4,18,0.934819258,0,0,0,18
"E438_POOLRET72_S246_L002",438,1,5,3,1,0,2,4,15,0.971760877,9,2,11,26
"E439_POOLRET73_S425_L003",439,1,2,0,3,1,0,2,8,0.904403779,0,1,1,9
"E440_POOLRET73_S385_L003",440,1,6,2,2,3,0,3,16,0.913801812,0,0,0,16
"E441_POOLRET72_S363_L002",441,1,6,1,3,2,0,4,16,0.934730742,3,0,3,19
"E442_POOLRET72_S350_L002",442,1,4,2,7,6,3,1,23,0.944196851,4,0,4,27
"E444_POOLRET73_S442_L003",444,1,9,3,1,0,3,1,17,0.947487975,1,0,1,18
"E445_POOLRET73_S401_L003",445,1,7,3,2,2,0,2,16,0.942753166,1,2,3,19
"E447_POOLRET73_S430_L003",447,1,11,0,2,1,1,5,20,0.932121754,2,0,2,22
"E448_POOLRET73_S543_L003",448,1,8,2,2,6,1,1,20,0.953910072,0,0,0,20
"E451_POOLRET72_S252_L002",451,1,2,3,4,3,1,1,14,0.809340969,1,1,2,16
"E456_POOLRET72_S356_L002",456,1,2,1,1,1,0,0,5,0.939455929,3,0,3,8
"E457_POOLRET73_S512_L003",457,1,4,1,3,2,2,5,17,0.873491651,1,3,4,21
"E465_POOLRET72_S366_L002",465,1,9,1,5,2,6,1,24,0.761553992,0,5,5,29
"E467_POOLRET72_S201_L002",467,1,4,1,1,4,1,2,13,0.84430228,0,1,1,14
"E468_POOLRET73_S562_L003",468,1,1,1,0,3,2,5,12,0.711131273,2,1,3,15
"E469_POOLRET72_S383_L002",469,1,6,0,2,0,0,2,10,0.594894426,1,3,4,14
"E470_POOLRET72_S323_L002",470,1,3,1,1,3,3,2,13,0.959252082,4,2,6,19
"E471_POOLRET73_S483_L003",471,1,3,3,2,4,2,4,18,0.88022047,3,1,4,22
"E473_POOLRET72_S263_L002",473,1,3,2,2,2,1,0,10,0.833646279,0,0,0,10
"E474_POOLRET72_S266_L002",474,1,6,2,3,0,4,2,17,0.957659075,1,0,1,18
"E475_POOLRET72_S196_L002",475,1,4,1,1,3,0,1,10,0.683698052,0,0,0,10
"E476_POOLRET72_S362_L002",476,1,12,3,2,4,3,5,29,0.960460003,0,1,1,30
