"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"H7GWFDSX7_E412_POOLRET74",9,3,6,2,4,6,30,0.976032822,11,3,14,44
"H7GWFDSX7_E413_POOLRET74",11,5,4,6,4,6,36,0.974966426,6,5,11,47
"H7GWFDSX7_E423_POOLRET74",14,6,7,4,3,8,42,0.977437689,3,2,5,47
"H7GWFDSX7_E427_POOLRET74",16,2,8,1,5,8,40,0.974425565,3,1,4,44
"H7GWFDSX7_E428_POOLRET74",19,2,4,6,3,6,40,0.980204814,7,3,10,50
"H7GWFDSX7_E443_POOLRET74",21,4,5,5,3,4,42,0.980491702,15,3,18,60
"H7GWFDSX7_E446_POOLRET74",13,5,11,8,8,0,45,0.98045759,7,9,16,61
"H7GWFDSX7_E449_POOLRET74",7,4,10,8,4,2,35,0.965858432,3,2,5,40
"H7GWFDSX7_E450_POOLRET74",13,4,2,9,7,5,40,0.979434021,5,3,8,48
"H7GWFDSX7_E452_POOLRET74",12,5,5,6,5,2,35,0.973632168,4,3,7,42
"H7GWFDSX7_E453_POOLRET74",15,2,8,6,4,11,46,0.973158385,5,4,9,55
"H7GWFDSX7_E454_POOLRET74",13,2,7,8,3,4,37,0.966699613,4,1,5,42
"H7GWFDSX7_E455_POOLRET74",21,3,6,6,5,7,48,0.975124883,2,0,2,50
"H7GWFDSX7_E458_POOLRET74",15,5,6,4,3,6,39,0.943608197,10,3,13,52
"H7GWFDSX7_E459_POOLRET74",21,7,6,8,7,5,54,0.976615852,4,2,6,60
"H7GWFDSX7_E460_POOLRET74",13,3,9,5,4,7,41,0.980036855,8,3,11,52
"H7GWFDSX7_E461_POOLRET74",20,1,14,5,8,5,53,0.977258412,6,5,11,64
"H7GWFDSX7_E462_POOLRET74",14,3,6,4,4,10,41,0.974310495,3,7,10,51
"H7GWFDSX7_E463_POOLRET74",14,1,8,5,4,10,42,0.980336865,10,2,12,54
"H7GWFDSX7_E464_POOLRET74",14,6,14,7,2,8,51,0.977576172,6,5,11,62
"H7GWFDSX7_E466_POOLRET74",16,2,3,4,4,4,33,0.971299887,4,4,8,41
"H7GWFDSX7_E472_POOLRET74",11,3,4,6,4,5,33,0.979084841,3,2,5,38
"H7GWFDSX7_E477_POOLRET74",13,8,7,3,8,7,46,0.976434153,9,0,9,55
"H7GWFDSX7_E478_POOLRET74",15,3,7,6,2,6,39,0.978988238,6,1,7,46
"H7GWFDSX7_E479_POOLRET74",14,7,4,6,2,6,39,0.975571005,5,3,8,47
"H7GWFDSX7_E480_POOLRET74",16,3,5,5,1,6,36,0.971517564,9,2,11,47
"H7GWFDSX7_E484_POOLRET74",16,5,5,4,4,7,41,0.977079694,9,0,9,50
"H7GWFDSX7_E487_POOLRET74",13,5,5,5,3,2,33,0.971705157,2,1,3,36
"H7GWFDSX7_E494_POOLRET74",18,1,2,4,5,6,36,0.979139206,6,2,8,44
"H7GWFDSX7_E498_POOLRET74",16,4,7,7,0,6,40,0.975487614,15,6,21,61
"G201_POOLRET73_S509_L003",15,2,5,8,4,11,45,0.963420404,4,3,7,52
"G202_POOLRET73_S446_L003",8,3,7,7,1,8,34,0.973925916,1,3,4,38
"G203_POOLRET72_S273_L002",11,2,4,10,9,3,39,0.967777904,11,5,16,55
"G204_POOLRET73_S504_L003",12,0,2,5,3,10,32,0.972804508,1,3,4,36
"G206_POOLRET73_S465_L003",17,5,3,5,4,8,42,0.974240914,8,2,10,52
"G209_POOLRET72_S352_L002",18,7,9,6,5,4,49,97,3,3,6,55
"G210_POOLRET73_S494_L003",18,4,3,6,4,7,42,0.976774568,8,5,13,55
"G211_POOLRET73_S395_L003",17,2,7,6,4,8,44,0.966869516,8,3,11,55
"G212_POOLRET73_S396_L003",17,2,4,4,3,8,38,0.976032822,3,4,7,45
"G213_POOLRET72_S193_L002",15,2,6,7,3,6,39,0.974966426,4,3,7,46
"G214_POOLRET72_S332_L002",18,2,9,9,5,5,48,0.974958898,3,2,5,53
"G215_POOLRET72_S264_L002",13,4,4,5,6,11,43,0.973252884,5,2,7,50
"G216_POOLRET73_S502_L003",8,0,3,1,3,1,16,0.975159314,1,0,1,17
"G217_POOLRET73_S397_L003",19,4,7,9,0,5,44,0.96275148,5,2,7,51
"G218_POOLRET73_S521_L003",11,3,2,7,3,8,34,0.9751713,4,1,5,39
"G219_POOLRET73_S574_L003",10,7,2,8,7,6,40,0.971488717,6,0,6,46
"G221_POOLRET72_S308_L002",5,2,4,4,1,4,20,0.969476918,6,2,8,28
"G222_POOLRET72_S297_L002",7,10,7,8,3,2,37,0.973466492,10,3,13,50
"G223_POOLRET73_S451_L003",8,6,7,7,5,9,42,0.977437689,5,1,6,48
"G224_POOLRET73_S441_L003",10,2,9,4,4,12,41,0.974935914,8,1,9,50
"G226_POOLRET72_S258_L002",18,4,8,10,2,5,47,0.975244979,17,73,90,137
"G227_POOLRET72_S377_L002",20,1,7,4,5,8,45,0.974425565,0,1,1,46
"G229_POOLRET73_S539_L003",14,2,7,9,4,3,39,0.975516601,5,2,7,46
"G230_POOLRET73_S458_L003",9,4,6,3,8,6,36,0.976039463,3,0,3,39
"G231_POOLRET73_S457_L003",10,2,7,3,3,2,27,0.976791001,7,4,11,38
"G232_POOLRET73_S558_L003",11,3,8,2,3,5,32,0.964160355,3,2,5,37
"G233_POOLRET72_S242_L002",14,3,1,2,4,4,28,0.967951816,3,1,4,32
"G234_POOLRET72_S215_L002",2,3,1,1,1,1,9,0.966688106,4,0,4,13
