"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",3,3,4,5,3,2,20,0.969513942,4,0,4,24
"E401_POOLRET73_S389_L003",3,0,0,1,0,4,8,0.749102134,2,0,2,10
"E402_POOLRET72_S359_L002",3,0,2,4,0,5,14,0.906996014,0,0,0,14
"E403_POOLRET73_S421_L003",4,0,2,5,3,0,14,0.828891157,5,0,5,19
"E404_POOLRET72_S280_L002",7,0,0,1,0,1,9,0.90378869,1,2,3,12
"E406_POOLRET73_S403_L003",8,0,2,2,0,2,14,0.929086268,3,0,3,17
"E407_POOLRET73_S467_L003",6,3,5,1,1,4,20,0.930587039,0,1,1,21
"E408_POOLRET72_S251_L002",4,0,1,2,1,1,9,0.970537142,0,0,0,9
"E410_POOLRET73_S390_L003",6,1,0,1,3,1,12,0.955425941,2,1,3,15
"E411_POOLRET72_S300_L002",6,0,2,4,1,1,14,0.823815823,1,2,3,17
"E414_POOLRET72_S368_L002",7,0,6,2,3,3,21,0.939628016,0,0,0,21
"E415_POOLRET72_S354_L002",4,3,2,3,3,4,19,0.920984082,1,0,1,20
"E416_POOLRET73_S423_L003",5,0,0,1,2,0,8,0.934357391,0,0,0,8
"E417_POOLRET73_S445_L003",7,3,4,2,0,3,19,0.758117095,0,1,1,20
"E418_POOLRET73_S500_L003",5,3,0,5,1,1,15,0.93812175,0,0,0,15
"E419_POOLRET73_S523_L003",4,2,1,4,3,0,14,0.869721808,1,0,1,15
"E420_POOLRET72_S210_L002",8,1,2,3,2,4,20,0.946096002,3,0,3,23
"E421_POOLRET73_S567_L003",1,1,0,2,1,0,5,0.865003681,1,1,2,7
"E422_POOLRET73_S561_L003",3,3,2,4,3,0,15,0.915884208,3,0,3,18
"E424_POOLRET72_S370_L002",2,1,3,2,2,5,15,0.935878096,4,0,4,19
"E425_POOLRET73_S563_L003",7,3,0,2,0,3,15,0.95143863,3,1,4,19
"E426_POOLRET72_S234_L002",9,3,3,1,2,1,19,0.9463586,3,2,5,24
"E429_POOLRET73_S533_L003",8,0,4,3,3,1,19,0.944404735,0,1,1,20
"E430_POOLRET72_S380_L002",5,4,4,1,6,3,23,0.956092432,0,0,0,23
"E431_POOLRET73_S454_L003",2,0,2,2,2,2,10,0.957279073,3,2,5,15
"E432_POOLRET72_S367_L002",4,2,4,0,3,0,13,0.777747294,0,0,0,13
"E433_POOLRET72_S200_L002",4,1,1,2,2,1,11,0.823912845,1,1,2,13
"E434_POOLRET72_S202_L002",0,0,0,0,0,0,0,0.777353911,0,0,0,0
"E435_POOLRET72_S378_L002",6,0,2,0,0,4,12,0.730347657,1,0,1,13
"E436_POOLRET72_S320_L002",7,2,2,0,0,5,16,0.961339145,1,2,3,19
"E437_POOLRET72_S315_L002",7,2,8,3,1,4,25,0.934819258,2,1,3,28
"E438_POOLRET72_S246_L002",3,0,4,0,1,5,13,0.971760877,1,2,3,16
