"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",4,3,4,6,6,4,27,0.977850776,7,0,7,34
"E401_POOLRET73_S389_L003",8,1,1,1,1,14,26,0.963420404,5,1,6,32
"E402_POOLRET72_S359_L002",5,0,3,5,0,7,20,0.973925916,2,1,3,23
"E403_POOLRET73_S421_L003",5,1,3,7,7,4,27,0.967777904,8,4,12,39
"E404_POOLRET72_S280_L002",9,0,1,2,1,4,17,0.972804508,2,2,4,21
"E406_POOLRET73_S403_L003",10,1,2,2,0,5,20,0.974240914,5,0,5,25
"E407_POOLRET73_S467_L003",8,4,6,4,2,10,34,0.97472089,1,2,3,37
"E408_POOLRET72_S251_L002",5,0,2,2,1,6,16,0.97808683,0,2,2,18
"E410_POOLRET73_S390_L003",8,3,0,1,3,5,20,0.976774568,6,2,8,28
"E411_POOLRET72_S300_L002",9,0,3,5,1,2,20,0.966869516,1,2,3,23
"E414_POOLRET72_S368_L002",12,0,6,2,3,8,31,0.974958898,0,3,3,34
"E415_POOLRET72_S354_L002",4,3,4,3,3,7,24,0.973252884,3,0,3,27
"E416_POOLRET73_S423_L003",8,1,0,1,2,5,17,0.975159314,0,0,0,17
"E417_POOLRET73_S445_L003",13,3,4,3,0,6,29,0.96275148,2,1,3,32
"E418_POOLRET73_S500_L003",6,3,0,7,2,13,31,0.9751713,1,1,2,33
"E419_POOLRET73_S523_L003",5,4,2,6,6,7,30,0.971488717,1,0,1,31
"E420_POOLRET72_S210_L002",9,1,3,3,2,9,27,0.9758207,7,1,8,35
"E421_POOLRET73_S567_L003",2,1,0,3,1,3,10,0.969476918,1,2,3,13
"E422_POOLRET73_S561_L003",3,3,3,5,3,6,23,0.973466492,4,2,6,29
"E424_POOLRET72_S370_L002",2,2,3,3,2,9,21,0.974935914,8,1,9,30
"E425_POOLRET73_S563_L003",9,3,0,3,1,9,25,0.97716146,5,1,6,31
"E426_POOLRET72_S234_L002",9,3,5,3,2,8,30,0.975244979,7,4,11,41
"E429_POOLRET73_S533_L003",10,0,4,3,4,6,27,0.975516601,3,1,4,31
"E430_POOLRET72_S380_L002",6,4,4,1,6,9,30,0.976039463,1,1,2,32
"E431_POOLRET73_S454_L003",4,0,4,2,4,3,17,0.976791001,5,5,10,27
