"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",1,0,0,2,2,4,9,0.969513942,5,1,6,15
"E401_POOLRET73_S389_L003",0,0,0,0,0,8,8,0.749102134,2,2,4,12
"E402_POOLRET72_S359_L002",0,0,1,0,1,3,5,0.906996014,2,1,3,8
"E403_POOLRET73_S421_L003",1,0,1,0,1,6,9,0.828891157,1,1,2,11
"E404_POOLRET72_S280_L002",3,0,0,2,2,3,10,0.90378869,2,0,2,12
"E406_POOLRET73_S403_L003",1,0,0,0,0,3,4,0.929086268,4,1,5,9
"E407_POOLRET73_S467_L003",0,0,0,1,0,4,5,0.930587039,1,2,3,8
"E408_POOLRET72_S251_L002",2,0,0,0,0,6,8,0.970537142,2,2,4,12
"E410_POOLRET73_S390_L003",0,0,0,1,1,4,6,0.955425941,2,1,3,9
"E411_POOLRET72_S300_L002",1,0,1,2,1,4,9,0.823815823,3,1,4,13
"E414_POOLRET72_S368_L002",1,0,0,0,1,7,9,0.939628016,1,2,3,12
"E415_POOLRET72_S354_L002",0,0,0,0,0,2,2,0.920984082,0,0,0,2
"E416_POOLRET73_S423_L003",2,2,0,0,0,4,8,0.934357391,0,1,1,9
"E417_POOLRET73_S445_L003",0,0,0,0,0,5,5,0.758117095,2,1,3,8
"E418_POOLRET73_S500_L003",0,0,1,2,1,10,14,0.93812175,3,2,5,19
"E419_POOLRET73_S523_L003",0,0,0,1,1,4,6,0.869721808,0,1,1,7
"E420_POOLRET72_S210_L002",0,0,2,1,0,10,13,0.946096002,4,0,4,17
"E421_POOLRET73_S567_L003",0,0,0,1,0,6,7,0.865003681,0,2,2,9
"E422_POOLRET73_S561_L003",0,0,0,0,1,7,8,0.915884208,0,3,3,11
"E424_POOLRET72_S370_L002",1,1,2,0,0,4,8,0.935878096,5,2,7,15
"E425_POOLRET73_S563_L003",0,0,0,1,1,7,9,0.95143863,4,1,5,14
"E426_POOLRET72_S234_L002",0,0,0,1,0,4,5,0.9463586,1,2,3,8
"E429_POOLRET73_S533_L003",1,0,0,0,0,4,5,0.944404735,2,0,2,7
