"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E493_POOLRET72_S227_L002",493,1,8,6,5,10,1,3,33,0.972312986,5,5,10,43
"E495_POOLRET72_S211_L002",495,1,13,3,3,7,2,8,36,0.92042989,3,3,6,42
"E496_POOLRET73_S535_L003",496,1,14,3,4,1,4,6,32,0.708326635,3,1,4,36
"E497_POOLRET73_S392_L003",497,1,14,5,8,2,6,5,40,0.941820716,3,2,5,45
"E499_POOLRET72_S231_L002",499,1,10,6,8,7,1,3,35,0.815676823,4,0,4,39
"H7GWFDSX7_E405_POOLRET74",405,1,15,4,2,5,2,8,36,0.975882094,13,4,17,53
"H7GWFDSX7_E412_POOLRET74",412,1,8,3,5,2,3,4,25,0.945762437,9,2,11,36
"H7GWFDSX7_E413_POOLRET74",413,1,8,4,3,5,2,4,26,0.9053391,5,5,10,36
"H7GWFDSX7_E423_POOLRET74",423,1,14,6,6,4,3,7,40,0.958716317,3,1,4,44
"H7GWFDSX7_E427_POOLRET74",427,1,15,2,7,1,4,8,37,0.912185432,3,1,4,41
"H7GWFDSX7_E428_POOLRET74",428,1,18,2,4,5,3,4,36,0.976327498,5,3,8,44
"H7GWFDSX7_E443_POOLRET74",443,1,20,4,5,4,2,4,39,0.976935547,8,2,10,49
"H7GWFDSX7_E446_POOLRET74",446,1,12,5,10,8,5,0,40,0.976929045,5,9,14,54
"H7GWFDSX7_E449_POOLRET74",449,1,7,4,10,8,3,2,34,0.809494101,3,2,5,39
"H7GWFDSX7_E450_POOLRET74",450,1,13,2,2,8,7,5,37,0.974346263,5,2,7,44
"H7GWFDSX7_E452_POOLRET74",452,1,12,4,3,5,4,2,30,0.903529173,2,2,4,34
"H7GWFDSX7_E453_POOLRET74",453,1,14,2,7,6,4,10,43,0.909042972,4,4,8,51
"H7GWFDSX7_E454_POOLRET74",454,1,11,2,6,8,3,3,33,0.825638363,4,0,4,37
"H7GWFDSX7_E455_POOLRET74",455,1,21,3,5,5,5,7,46,0.932200219,2,0,2,48
"H7GWFDSX7_E458_POOLRET74",458,1,9,5,4,1,2,4,25,0.568417187,6,2,8,33
"H7GWFDSX7_E459_POOLRET74",459,1,21,6,6,8,6,5,52,0.952239457,4,2,6,58
"H7GWFDSX7_E460_POOLRET74",460,1,13,3,9,5,3,7,40,0.976029372,7,3,10,50
"H7GWFDSX7_E461_POOLRET74",461,1,19,1,14,5,7,5,51,0.953559715,5,2,7,58
"H7GWFDSX7_E462_POOLRET74",462,1,14,3,5,4,3,9,38,0.919012479,3,5,8,46
"H7GWFDSX7_E463_POOLRET74",463,1,12,1,8,5,4,10,40,0.976506675,10,1,11,51
"H7GWFDSX7_E464_POOLRET74",464,1,12,6,12,6,2,6,44,0.952224908,6,5,11,55
"H7GWFDSX7_E466_POOLRET74",466,1,15,2,1,4,4,3,29,0.867845073,4,3,7,36
"H7GWFDSX7_E472_POOLRET74",472,1,10,3,3,6,4,5,31,0.973469005,3,2,5,36
"H7GWFDSX7_E477_POOLRET74",477,1,12,8,7,2,5,5,39,0.953206427,9,0,9,48
"H7GWFDSX7_E478_POOLRET74",478,1,12,3,7,4,2,5,33,0.972835898,6,1,7,40
"H7GWFDSX7_E479_POOLRET74",479,1,13,7,4,6,1,5,36,0.937390255,4,3,7,43
"H7GWFDSX7_E480_POOLRET74",480,1,13,3,5,5,1,6,33,0.882051595,5,1,6,39
"H7GWFDSX7_E484_POOLRET74",484,1,12,4,5,4,2,5,32,0.951846582,7,0,7,39
"H7GWFDSX7_E487_POOLRET74",487,1,12,3,5,4,3,1,28,0.852438727,1,1,2,30
"H7GWFDSX7_E494_POOLRET74",494,1,16,0,2,4,3,6,31,0.972975279,5,2,7,38
"H7GWFDSX7_E498_POOLRET74",498,1,15,3,6,6,0,6,36,0.933806728,12,5,17,53
"G201_POOLRET73_S509_L003",401,1,8,1,2,7,1,7,26,0.749102134,2,3,5,31
"G202_POOLRET73_S446_L003",402,2,6,3,6,6,1,6,28,0.906996014,0,1,1,29
"G203_POOLRET72_S273_L002",403,2,9,0,4,7,5,2,27,0.828891157,7,4,11,38
"G204_POOLRET73_S504_L003",404,2,11,0,1,5,2,7,26,0.90378869,2,2,4,30
"G206_POOLRET73_S465_L003",406,2,14,4,3,5,3,7,36,0.929086268,5,2,7,43
"G209_POOLRET72_S352_L002",409,2,17,6,8,5,3,4,43,92,2,2,4,47
"G210_POOLRET73_S494_L003",410,2,12,2,1,5,4,4,28,0.955425941,3,3,6,34
"G211_POOLRET73_S395_L003",411,2,12,2,6,6,3,6,35,0.823815823,6,3,9,44
"G212_POOLRET73_S396_L003",412,2,15,2,3,3,1,7,31,0.945762437,3,3,6,37
"G213_POOLRET72_S193_L002",413,2,12,2,4,5,0,4,27,0.9053391,3,1,4,31
"G214_POOLRET72_S332_L002",414,2,14,2,9,8,5,5,43,0.939628016,2,1,3,46
