"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,13,10,6,12,8,12,61,0.977850776,13,2,15,76
"E401_POOLRET73_S389_L003",401,1,11,3,3,6,2,24,49,0.963420404,10,4,14,63
"E402_POOLRET72_S359_L002",402,1,14,2,7,7,1,11,42,0.973925916,5,5,10,52
"E403_POOLRET73_S421_L003",403,1,16,3,6,13,10,16,64,0.967777904,14,7,21,85
"E404_POOLRET72_S280_L002",404,1,18,2,5,5,3,13,46,0.972804508,7,3,10,56
"E406_POOLRET73_S403_L003",406,1,15,7,5,5,3,11,46,0.974240914,10,5,15,61
"E407_POOLRET73_S467_L003",407,1,14,7,9,9,3,14,56,0.97472089,5,6,11,67
"E408_POOLRET72_S251_L002",408,1,12,2,4,2,1,17,38,0.97808683,4,5,9,47
"E410_POOLRET73_S390_L003",410,1,13,5,3,7,5,9,42,0.976774568,14,8,22,64
"E411_POOLRET72_S300_L002",411,1,17,6,5,10,4,15,57,0.966869516,8,5,13,70
"E414_POOLRET72_S368_L002",414,1,25,0,7,5,5,22,64,0.974958898,4,3,7,71
"E415_POOLRET72_S354_L002",415,1,12,3,6,4,4,15,44,0.973252884,5,4,9,53
"E416_POOLRET73_S423_L003",416,1,13,2,3,1,3,8,30,0.975159314,1,2,3,33
"E417_POOLRET73_S445_L003",417,1,17,9,8,9,1,17,61,0.96275148,9,5,14,75
"E418_POOLRET73_S500_L003",418,1,14,4,2,13,4,20,57,0.9751713,8,2,10,67
"E419_POOLRET73_S523_L003",419,1,10,6,7,12,9,15,59,0.971488717,13,5,18,77
"E420_POOLRET72_S210_L002",420,1,20,4,6,10,6,21,67,0.9758207,11,2,13,80
"E421_POOLRET73_S567_L003",421,1,11,4,7,7,3,9,41,0.969476918,6,5,11,52
"E422_POOLRET73_S561_L003",422,1,6,3,6,7,5,16,43,0.973466492,9,8,17,60
"E424_POOLRET72_S370_L002",424,1,9,4,7,12,4,21,57,0.974935914,11,3,14,71
"E425_POOLRET73_S563_L003",425,1,12,3,4,7,2,18,46,0.97716146,15,4,19,65
"E426_POOLRET72_S234_L002",426,1,14,3,12,10,3,14,56,0.975244979,21,79,100,156
"E429_POOLRET73_S533_L003",429,1,19,2,9,7,5,13,55,0.975516601,6,2,8,63
"E430_POOLRET72_S380_L002",430,1,9,4,8,4,7,12,44,0.976039463,3,2,5,49
"E431_POOLRET73_S454_L003",431,1,17,1,6,4,8,5,41,0.976791001,12,8,20,61
"E432_POOLRET72_S367_L002",432,1,12,3,8,4,5,12,44,0.964160355,7,2,9,53
"E433_POOLRET72_S200_L002",433,1,16,4,3,3,7,14,47,0.967951816,5,6,11,58
"E434_POOLRET72_S202_L002",434,1,20,5,7,5,3,19,59,0.966688106,10,2,12,71
"E435_POOLRET72_S378_L002",435,1,12,4,12,4,4,17,53,0.956196474,4,4,8,61
"E436_POOLRET72_S320_L002",436,1,13,6,6,4,5,13,47,0.97690317,6,6,12,59
"E437_POOLRET72_S315_L002",437,1,16,3,9,12,5,19,64,0.975022635,9,5,14,78
"E438_POOLRET72_S246_L002",438,1,13,3,7,4,7,22,56,0.978818903,15,5,20,76
"E439_POOLRET73_S425_L003",439,1,11,0,7,5,2,11,36,0.972085557,4,2,6,42
"E440_POOLRET73_S385_L003",440,1,13,7,6,8,3,9,46,0.974696569,8,3,11,57
"E441_POOLRET72_S363_L002",441,1,18,3,7,7,2,9,46,0.975011936,11,7,18,64
"E442_POOLRET72_S350_L002",442,1,9,4,11,8,5,11,48,0.975687132,13,9,22,70
"E444_POOLRET73_S442_L003",444,1,14,3,5,6,10,15,53,0.975686903,7,5,12,65
"E445_POOLRET73_S401_L003",445,1,24,7,7,10,1,15,64,0.975292752,9,6,15,79
"E447_POOLRET73_S430_L003",447,1,18,1,5,10,6,17,57,0.974693747,8,9,17,74
"E448_POOLRET73_S543_L003",448,1,15,4,4,11,3,11,48,0.97635832,8,1,9,57
"E451_POOLRET72_S252_L002",451,1,12,9,9,7,6,8,51,0.966519538,7,5,12,63
"E456_POOLRET72_S356_L002",456,1,12,1,4,3,2,11,33,0.975407922,9,4,13,46
"E457_POOLRET73_S512_L003",457,1,14,3,7,7,4,19,54,0.971795209,6,4,10,64
"E465_POOLRET72_S366_L002",465,1,20,3,11,5,10,18,67,0.955193945,8,10,18,85
"E467_POOLRET72_S201_L002",467,1,11,3,5,8,6,10,43,0.971931618,5,4,9,52
"E468_POOLRET73_S562_L003",468,1,15,5,5,9,9,16,59,0.955343636,14,3,17,76
"E469_POOLRET72_S383_L002",469,1,13,1,6,5,1,16,42,0.948536721,4,7,11,53
