"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"H7GWFDSX7_E412_POOLRET74",6,2,3,0,2,3,16,0.976032822,9,3,12,28
"H7GWFDSX7_E413_POOLRET74",3,3,1,3,1,3,14,0.974966426,3,4,7,21
"H7GWFDSX7_E423_POOLRET74",12,4,4,2,1,4,27,0.977437689,2,1,3,30
"H7GWFDSX7_E427_POOLRET74",7,1,5,1,2,5,21,0.974425565,3,1,4,25
"H7GWFDSX7_E428_POOLRET74",13,1,2,3,2,4,25,0.980204814,4,2,6,31
"H7GWFDSX7_E443_POOLRET74",6,2,2,5,2,3,20,0.980491702,5,2,7,27
"H7GWFDSX7_E446_POOLRET74",13,5,11,8,8,0,45,0.98045759,7,9,16,61
"H7GWFDSX7_E449_POOLRET74",4,3,5,4,2,2,20,0.965858432,2,1,3,23
"H7GWFDSX7_E450_POOLRET74",7,1,1,6,0,5,20,0.979434021,3,2,5,25
"H7GWFDSX7_E452_POOLRET74",7,4,3,3,3,1,21,0.973632168,2,1,3,24
"H7GWFDSX7_E453_POOLRET74",7,2,4,1,3,4,21,0.973158385,1,2,3,24
"H7GWFDSX7_E454_POOLRET74",8,0,3,5,0,1,17,0.966699613,2,1,3,20
"H7GWFDSX7_E455_POOLRET74",12,0,3,3,3,3,24,0.975124883,1,0,1,25
"H7GWFDSX7_E458_POOLRET74",7,4,3,1,3,3,21,0.943608197,4,3,7,28
"H7GWFDSX7_E459_POOLRET74",11,5,4,5,2,2,29,0.976615852,2,1,3,32
"H7GWFDSX7_E460_POOLRET74",7,2,5,4,3,3,24,0.980036855,6,1,7,31
"H7GWFDSX7_E461_POOLRET74",8,0,8,2,1,3,22,0.977258412,2,2,4,26
"H7GWFDSX7_E462_POOLRET74",8,2,3,2,2,6,23,0.974310495,2,4,6,29
"H7GWFDSX7_E463_POOLRET74",6,0,3,4,1,7,21,0.980336865,8,0,8,29
"H7GWFDSX7_E464_POOLRET74",5,3,6,3,1,6,24,0.977576172,2,2,4,28
"H7GWFDSX7_E466_POOLRET74",4,1,1,3,0,2,11,0.971299887,2,3,5,16
"H7GWFDSX7_E472_POOLRET74",2,1,1,1,2,3,10,0.979084841,3,2,5,15
"H7GWFDSX7_E477_POOLRET74",8,5,3,2,3,3,24,0.976434153,3,0,3,27
"H7GWFDSX7_E478_POOLRET74",5,3,4,3,2,5,22,0.978988238,3,1,4,26
"H7GWFDSX7_E479_POOLRET74",10,2,0,3,2,4,21,0.975571005,3,1,4,25
"H7GWFDSX7_E480_POOLRET74",7,3,3,0,1,4,18,0.971517564,5,2,7,25
"H7GWFDSX7_E484_POOLRET74",11,3,2,2,4,6,28,0.977079694,5,0,5,33
"H7GWFDSX7_E487_POOLRET74",6,0,3,3,1,2,15,0.971705157,1,0,1,16
"H7GWFDSX7_E494_POOLRET74",11,1,2,2,1,3,20,0.979139206,3,1,4,24
"H7GWFDSX7_E498_POOLRET74",5,3,4,3,0,4,19,0.975487614,12,3,15,34
"G201_POOLRET73_S509_L003",7,1,4,7,3,4,26,0.963420404,1,3,4,30
"G202_POOLRET73_S446_L003",3,3,4,2,1,3,16,0.973925916,1,3,4,20
