Sample1	Sample2	CommonSites_10x
H7GWFDSX7_E450_POOLRET74.markduplicates	H7GWFDSX7_G250_POOLRET74.markduplicates	97713680
H7GWFDSX7_E452_POOLRET74.markduplicates	G252_POOLRET73_S481_L003.markduplicates	90611689
H7GWFDSX7_E453_POOLRET74.markduplicates	G253_POOLRET73_S431_L003.markduplicates	91164648
H7GWFDSX7_E454_POOLRET74.markduplicates	G254_POOLRET73_S447_L003.markduplicates	82800300
H7GWFDSX7_E455_POOLRET74.markduplicates	G255_POOLRET72_S237_L002.markduplicates	93487005
H7GWFDSX7_E458_POOLRET74.markduplicates	G258_POOLRET73_S473_L003.markduplicates	57004514
H7GWFDSX7_E459_POOLRET74.markduplicates	G259_POOLRET73_S428_L003.markduplicates	95496668
H7GWFDSX7_E460_POOLRET74.markduplicates	H7GWFDSX7_G260_POOLRET74.markduplicates	97882473
H7GWFDSX7_E461_POOLRET74.markduplicates	G261_POOLRET72_S254_L002.markduplicates	95629072
H7GWFDSX7_E462_POOLRET74.markduplicates	G262_POOLRET73_S394_L003.markduplicates	92164454
H7GWFDSX7_E463_POOLRET74.markduplicates	H7GWFDSX7_G263_POOLRET74.markduplicates	97930340
H7GWFDSX7_E464_POOLRET74.markduplicates	G264_POOLRET73_S470_L003.markduplicates	95495209
H7GWFDSX7_E466_POOLRET74.markduplicates	G266_POOLRET73_S407_L003.markduplicates	87033059
H7GWFDSX7_E472_POOLRET74.markduplicates	H7GWFDSX7_G272_POOLRET74.markduplicates	97625703
H7GWFDSX7_E477_POOLRET74.markduplicates	G277_POOLRET72_S364_L002.markduplicates	95593642
H7GWFDSX7_E478_POOLRET74.markduplicates	H7GWFDSX7_G278_POOLRET74.markduplicates	97562211
H7GWFDSX7_E479_POOLRET74.markduplicates	G279_POOLRET72_S305_L002.markduplicates	94007495
H7GWFDSX7_E480_POOLRET74.markduplicates	G280_POOLRET73_S487_L003.markduplicates	88457780
H7GWFDSX7_E484_POOLRET74.markduplicates	G284_POOLRET73_S463_L003.markduplicates	95457268
H7GWFDSX7_E487_POOLRET74.markduplicates	G287_POOLRET73_S549_L003.markduplicates	85488012
H7GWFDSX7_E494_POOLRET74.markduplicates	H7GWFDSX7_G294_POOLRET74.markduplicates	97576189
H7GWFDSX7_E498_POOLRET74.markduplicates	G298_POOLRET72_S306_L002.markduplicates	93648116
