Sample1	Sample2	CommonSites_3x
E486_POOLRET73_S531_L003.markduplicates	G286_POOLRET73_S548_L003.markduplicates	97587447
E488_POOLRET72_S195_L002.markduplicates	H7GWFDSX7_G288_POOLRET74.markduplicates	97797801
E489_POOLRET73_S488_L003.markduplicates	G289_POOLRET73_S537_L003.markduplicates	96898549
E490_POOLRET72_S288_L002.markduplicates	G290_POOLRET73_S426_L003.markduplicates	97566634
E491_POOLRET72_S214_L002.markduplicates	H7GWFDSX7_G291_POOLRET74.markduplicates	97399899
E492_POOLRET73_S508_L003.markduplicates	H7GWFDSX7_G292_POOLRET74.markduplicates	97396924
E493_POOLRET72_S227_L002.markduplicates	H7GWFDSX7_G293_POOLRET74.markduplicates	98142013
E495_POOLRET72_S211_L002.markduplicates	G295_POOLRET73_S434_L003.markduplicates	97649278
E496_POOLRET73_S535_L003.markduplicates	G296_POOLRET73_S386_L003.markduplicates	95992720
E497_POOLRET73_S392_L003.markduplicates	G297_POOLRET72_S331_L002.markduplicates	97851589
E499_POOLRET72_S231_L002.markduplicates	G299_POOLRET72_S349_L002.markduplicates	96935760
H7GWFDSX7_E405_POOLRET74.markduplicates	H7GWFDSX7_G205_POOLRET74.markduplicates	98308392
H7GWFDSX7_E412_POOLRET74.markduplicates	G212_POOLRET73_S396_L003.markduplicates	97882819
H7GWFDSX7_E413_POOLRET74.markduplicates	G213_POOLRET72_S193_L002.markduplicates	97775874
H7GWFDSX7_E423_POOLRET74.markduplicates	G223_POOLRET73_S451_L003.markduplicates	98023708
H7GWFDSX7_E427_POOLRET74.markduplicates	G227_POOLRET72_S377_L002.markduplicates	97721633
H7GWFDSX7_E428_POOLRET74.markduplicates	H7GWFDSX7_G228_POOLRET74.markduplicates	98301213
H7GWFDSX7_E443_POOLRET74.markduplicates	H7GWFDSX7_G243_POOLRET74.markduplicates	98329984
H7GWFDSX7_E446_POOLRET74.markduplicates	H7GWFDSX7_G246_POOLRET74.markduplicates	98326563
H7GWFDSX7_E449_POOLRET74.markduplicates	G249_POOLRET72_S198_L002.markduplicates	96862466
H7GWFDSX7_E450_POOLRET74.markduplicates	H7GWFDSX7_G250_POOLRET74.markduplicates	98223913
H7GWFDSX7_E452_POOLRET74.markduplicates	G252_POOLRET73_S481_L003.markduplicates	97642066
H7GWFDSX7_E453_POOLRET74.markduplicates	G253_POOLRET73_S431_L003.markduplicates	97594552
H7GWFDSX7_E454_POOLRET74.markduplicates	G254_POOLRET73_S447_L003.markduplicates	96946825
H7GWFDSX7_E455_POOLRET74.markduplicates	G255_POOLRET72_S237_L002.markduplicates	97791765
H7GWFDSX7_E458_POOLRET74.markduplicates	G258_POOLRET73_S473_L003.markduplicates	94631070
H7GWFDSX7_E459_POOLRET74.markduplicates	G259_POOLRET73_S428_L003.markduplicates	97941289
H7GWFDSX7_E460_POOLRET74.markduplicates	H7GWFDSX7_G260_POOLRET74.markduplicates	98284369
H7GWFDSX7_E461_POOLRET74.markduplicates	G261_POOLRET72_S254_L002.markduplicates	98005729
H7GWFDSX7_E462_POOLRET74.markduplicates	G262_POOLRET73_S394_L003.markduplicates	97710093
H7GWFDSX7_E463_POOLRET74.markduplicates	H7GWFDSX7_G263_POOLRET74.markduplicates	98314456
H7GWFDSX7_E464_POOLRET74.markduplicates	G264_POOLRET73_S470_L003.markduplicates	98037596
H7GWFDSX7_E466_POOLRET74.markduplicates	G266_POOLRET73_S407_L003.markduplicates	97408170
H7GWFDSX7_E472_POOLRET74.markduplicates	H7GWFDSX7_G272_POOLRET74.markduplicates	98188895
H7GWFDSX7_E477_POOLRET74.markduplicates	G277_POOLRET72_S364_L002.markduplicates	97923067
H7GWFDSX7_E478_POOLRET74.markduplicates	H7GWFDSX7_G278_POOLRET74.markduplicates	98179207
H7GWFDSX7_E479_POOLRET74.markduplicates	G279_POOLRET72_S305_L002.markduplicates	97836505
H7GWFDSX7_E480_POOLRET74.markduplicates	G280_POOLRET73_S487_L003.markduplicates	97430000
H7GWFDSX7_E484_POOLRET74.markduplicates	G284_POOLRET73_S463_L003.markduplicates	97987806
H7GWFDSX7_E487_POOLRET74.markduplicates	G287_POOLRET73_S549_L003.markduplicates	97448813
H7GWFDSX7_E494_POOLRET74.markduplicates	H7GWFDSX7_G294_POOLRET74.markduplicates	98194347
H7GWFDSX7_E498_POOLRET74.markduplicates	G298_POOLRET72_S306_L002.markduplicates	97828142
