Sample1	Sample2	CommonSites_3x
H7GWFDSX7_E466_POOLRET74.markduplicates	G266_POOLRET73_S407_L003.markduplicates	97408170
E400_POOLRET72_S275_L002.markduplicates	H7GWFDSX7_G200_POOLRET74.markduplicates	98065135
E401_POOLRET73_S389_L003.markduplicates	G201_POOLRET73_S509_L003.markduplicates	96617965
E402_POOLRET72_S359_L002.markduplicates	G202_POOLRET73_S446_L003.markduplicates	97671525
E403_POOLRET73_S421_L003.markduplicates	G203_POOLRET72_S273_L002.markduplicates	97054963
E404_POOLRET72_S280_L002.markduplicates	G204_POOLRET73_S504_L003.markduplicates	97559063
E406_POOLRET73_S403_L003.markduplicates	G206_POOLRET73_S465_L003.markduplicates	97703115
E407_POOLRET73_S467_L003.markduplicates	H7GWFDSX7_G207_POOLRET74.markduplicates	97751250
E408_POOLRET72_S251_L002.markduplicates	H7GWFDSX7_G208_POOLRET74.markduplicates	98088808
E410_POOLRET73_S390_L003.markduplicates	G210_POOLRET73_S494_L003.markduplicates	97957206
E411_POOLRET72_S300_L002.markduplicates	G211_POOLRET73_S395_L003.markduplicates	96963864
E414_POOLRET72_S368_L002.markduplicates	G214_POOLRET72_S332_L002.markduplicates	97775119
E415_POOLRET72_S354_L002.markduplicates	G215_POOLRET72_S264_L002.markduplicates	97604029
E416_POOLRET73_S423_L003.markduplicates	G216_POOLRET73_S502_L003.markduplicates	97795218
E417_POOLRET73_S445_L003.markduplicates	G217_POOLRET73_S397_L003.markduplicates	96550881
E418_POOLRET73_S500_L003.markduplicates	G218_POOLRET73_S521_L003.markduplicates	97796420
E419_POOLRET73_S523_L003.markduplicates	G219_POOLRET73_S574_L003.markduplicates	97427107
E420_POOLRET72_S210_L002.markduplicates	H7GWFDSX7_G220_POOLRET74.markduplicates	97861546
E421_POOLRET73_S567_L003.markduplicates	G221_POOLRET72_S308_L002.markduplicates	97225351
E422_POOLRET73_S561_L003.markduplicates	G222_POOLRET72_S297_L002.markduplicates	97625451
E424_POOLRET72_S370_L002.markduplicates	G224_POOLRET73_S441_L003.markduplicates	97772814
E425_POOLRET73_S563_L003.markduplicates	H7GWFDSX7_G225_POOLRET74.markduplicates	97996006
E426_POOLRET72_S234_L002.markduplicates	G226_POOLRET72_S258_L002.markduplicates	97803809
E429_POOLRET73_S533_L003.markduplicates	G229_POOLRET73_S539_L003.markduplicates	97831049
E430_POOLRET72_S380_L002.markduplicates	G230_POOLRET73_S458_L003.markduplicates	97883485
E431_POOLRET73_S454_L003.markduplicates	G231_POOLRET73_S457_L003.markduplicates	97958854
E432_POOLRET72_S367_L002.markduplicates	G232_POOLRET73_S558_L003.markduplicates	96692172
E433_POOLRET72_S200_L002.markduplicates	G233_POOLRET72_S242_L002.markduplicates	97072404
E434_POOLRET72_S202_L002.markduplicates	G234_POOLRET72_S215_L002.markduplicates	96945671
E435_POOLRET72_S378_L002.markduplicates	G235_POOLRET73_S570_L003.markduplicates	95893503
E436_POOLRET72_S320_L002.markduplicates	H7GWFDSX7_G236_POOLRET74.markduplicates	97970103
E437_POOLRET72_S315_L002.markduplicates	G237_POOLRET72_S307_L002.markduplicates	97781511
E438_POOLRET72_S246_L002.markduplicates	H7GWFDSX7_G238_POOLRET74.markduplicates	98162225
E439_POOLRET73_S425_L003.markduplicates	G239_POOLRET73_S444_L003.markduplicates	97486962
E440_POOLRET73_S385_L003.markduplicates	H7GWFDSX7_G240_POOLRET74.markduplicates	97748811
E441_POOLRET72_S363_L002.markduplicates	G241_POOLRET73_S452_L003.markduplicates	97780438
E442_POOLRET72_S350_L002.markduplicates	G242_POOLRET72_S286_L002.markduplicates	97848151
E444_POOLRET73_S442_L003.markduplicates	G244_POOLRET73_S408_L003.markduplicates	97848128
E445_POOLRET73_S401_L003.markduplicates	G245_POOLRET73_S519_L003.markduplicates	97808600
E447_POOLRET73_S430_L003.markduplicates	G247_POOLRET73_S530_L003.markduplicates	97748528
E448_POOLRET73_S543_L003.markduplicates	G248_POOLRET73_S387_L003.markduplicates	97915462
E451_POOLRET72_S252_L002.markduplicates	H7GWFDSX7_G251_POOLRET74.markduplicates	96928766
E456_POOLRET72_S356_L002.markduplicates	H7GWFDSX7_G256_POOLRET74.markduplicates	97820150
E457_POOLRET73_S512_L003.markduplicates	G257_POOLRET73_S540_L003.markduplicates	97457844
E465_POOLRET72_S366_L002.markduplicates	G265_POOLRET72_S298_L002.markduplicates	95792963
E467_POOLRET72_S201_L002.markduplicates	H7GWFDSX7_G267_POOLRET74.markduplicates	97471524
E468_POOLRET73_S562_L003.markduplicates	G268_POOLRET72_S342_L002.markduplicates	95807975
E469_POOLRET72_S383_L002.markduplicates	G269_POOLRET73_S573_L003.markduplicates	95125334
E470_POOLRET72_S323_L002.markduplicates	G270_POOLRET72_S345_L002.markduplicates	98009453
E471_POOLRET73_S483_L003.markduplicates	G271_POOLRET73_S413_L003.markduplicates	97382029
E473_POOLRET72_S263_L002.markduplicates	G273_POOLRET73_S525_L003.markduplicates	97264514
E474_POOLRET72_S266_L002.markduplicates	G274_POOLRET72_S271_L002.markduplicates	97935053
E475_POOLRET72_S196_L002.markduplicates	H7GWFDSX7_G275_POOLRET74.markduplicates	95280906
E476_POOLRET72_S362_L002.markduplicates	H7GWFDSX7_G276_POOLRET74.markduplicates	98043406
E481_POOLRET72_S296_L002.markduplicates	G281_POOLRET73_S422_L003.markduplicates	97478116
E482_POOLRET73_S468_L003.markduplicates	G282_POOLRET72_S248_L002.markduplicates	97872732
E483_POOLRET72_S381_L002.markduplicates	G283_POOLRET73_S427_L003.markduplicates	97924311
E485_POOLRET72_S372_L002.markduplicates	G285_POOLRET72_S325_L002.markduplicates	96999365
